timestamp,segment_label,lat,lon,current_travel_time_s,free_flow_travel_time_s,delay_s,current_speed_kmh,free_flow_speed_kmh,congestion_ratio,congestion_pct,confidence,road_class
2026-07-08T07:30:03,225718656_6833,28.51332460721611,77.09287183628282,1692,1254,438,43,58,0.741,25.9,1,FRC1
2026-07-08T07:30:03,203589999_11515,28.54009699788727,77.03793964885871,221,221,0,65,65,1.0,0.0,1,FRC0
2026-07-08T07:30:03,1312967330_8947,28.544270933925745,77.11558778760701,971,466,505,24,50,0.48,52.0,0.994029,FRC1
2026-07-08T07:30:03,1118959403_11971,28.558623962696338,77.04412110418482,1190,1190,0,76,76,1.0,0.0,1,FRC2
2026-07-08T07:30:03,459988200_2129,28.579388474669493,77.29338668746257,264,228,36,50,58,0.862,13.8,1,FRC1
2026-07-08T07:30:03,665106695_11703,28.534797763030348,77.03493559510467,221,221,0,65,65,1.0,0.0,1,FRC0
2026-07-08T07:30:03,31097490_6159,28.581427738053414,77.14530919891486,971,466,505,24,50,0.48,52.0,0.994029,FRC1
2026-07-08T07:30:03,1116296125_11941,28.57294240002825,77.00709740033888,1190,1190,0,76,76,1.0,0.0,1,FRC2
2026-07-08T07:30:03,190261066_6712,28.527599650085577,77.1020687498259,6,6,0,38,38,1.0,0.0,1,FRC2
2026-07-08T07:30:03,28616600_6132,28.55881261097506,77.13347681895029,1635,1343,292,46,56,0.821,17.9,1,FRC1
2026-07-08T07:30:03,76842646_5218,28.62458625005454,77.30890914996209,335,335,0,69,69,1.0,0.0,1,FRC1
2026-07-08T07:30:03,72002996_5191,28.62883168320012,77.32218167408332,372,372,0,64,64,1.0,0.0,1,FRC1
2026-07-08T07:30:03,1275944972_12118,28.590939900000297,77.00886754999766,1190,1190,0,76,76,1.0,0.0,1,FRC2
2026-07-08T07:30:03,37683065_782,28.57862141867612,77.26916603399955,89,89,0,46,46,1.0,0.0,1,FRC1
2026-07-08T07:30:03,555197217_2266,28.60491895991324,77.27137963956962,78,78,0,64,64,1.0,0.0,1,FRC1
2026-07-08T07:30:03,1118959402_11970,28.558510786035605,77.04407107130918,148,148,0,45,45,1.0,0.0,1,FRC4
2026-07-08T07:30:03,76834898_959,28.6036548337072,77.2685561310336,18,18,0,61,61,1.0,0.0,1,FRC1
2026-07-08T07:30:03,739709592_172,28.630866154721765,77.32816179656201,335,335,0,69,69,1.0,0.0,1,FRC1
2026-07-08T07:30:03,1183845908_4367,28.5785727461531,77.3014636274964,235,235,0,58,58,1.0,0.0,1,FRC1
2026-07-08T07:30:03,28746776_726,28.577126881823443,77.27894058332664,264,228,36,50,58,0.862,13.8,1,FRC1
2026-07-08T07:30:03,81061303_1379,28.58000061669264,77.2955884866146,587,470,117,32,40,0.8,20.0,1,FRC4
2026-07-08T07:30:03,1253124560_4643,28.57924575924795,77.26771669054187,122,48,74,22,55,0.4,60.0,1,FRC1
2026-07-08T07:30:03,555197219_2267,28.60891117319883,77.27875492380406,78,78,0,64,64,1.0,0.0,1,FRC1
2026-07-08T07:30:03,1275944981_12127,28.578623481341253,77.00689463429998,332,332,0,56,56,1.0,0.0,1,FRC4
2026-07-08T07:30:03,205771485_6829,28.54573021758676,77.12268346819816,1635,1343,292,46,56,0.821,17.9,1,FRC1
2026-07-08T07:30:03,81061270_22,28.58142127218609,77.29504818000866,584,453,131,31,40,0.775,22.5,1,FRC4
2026-07-08T07:30:03,1241992402_4577,28.59875380000435,77.2032118500068,276,215,61,28,36,0.778,22.2,0.995703,FRC3
2026-07-08T07:30:03,28616605_6135,28.53010158785404,77.10390315622871,1692,1254,438,43,58,0.741,25.9,1,FRC1
2026-07-08T07:30:03,680551210_2873,28.610180415111923,77.22452394525766,163,163,0,41,41,1.0,0.0,1,FRC3
2026-07-08T07:30:03,195207626_6779,28.606996437229277,77.12228140915767,952,781,171,32,39,0.821,17.9,1,FRC2
2026-07-08T07:30:03,605958422_2581,28.643618129651188,77.2683934033964,489,370,119,25,33,0.758,24.2,0.956429,FRC2
2026-07-08T07:30:03,1274776407_4744,28.748161520440974,77.19843942883196,2267,1649,618,24,33,0.727,27.3,0.861743,FRC3
2026-07-08T07:30:03,1155810083_4305,28.66431025000433,77.20816145003336,470,235,235,13,26,0.5,50.0,0.9868,FRC1
